date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:06:41	2039415/2039415	---M--	200	added ('OK')	video/mp4	etag:%226378bb49-1f1e77%22	https://rootedthegame.com/storage/salvage-680.mp4	C:/My%20Web%20Sites/Rooted/rootedthegame.com/storage/salvage-680.mp4	(from https://rootedthegame.com/)
22:06:41	1354260/1354260	---M--	200	added ('OK')	image/gif	etag:%226377a118-14aa14%22	https://rootedthegame.com/storage/crouch.gif	C:/My%20Web%20Sites/Rooted/rootedthegame.com/storage/crouch.gif	(from https://rootedthegame.com/)
22:06:42	1850483/1850483	---M--	200	added ('OK')	image/gif	etag:%226377a118-1c3c73%22	https://rootedthegame.com/storage/window.gif	C:/My%20Web%20Sites/Rooted/rootedthegame.com/storage/window.gif	(from https://rootedthegame.com/)
22:06:48	3112064/3112064	---M--	200	added ('OK')	image/gif	etag:%226377a118-2f7c80%22	https://rootedthegame.com/storage/infiltration.gif	C:/My%20Web%20Sites/Rooted/rootedthegame.com/storage/infiltration.gif	(from https://rootedthegame.com/)
22:06:48	2351796/2351796	---M--	200	added ('OK')	video/mp4	etag:%226377ce5c-23e2b4%22	https://rootedthegame.com/storage/AnimolsSteam.mp4	C:/My%20Web%20Sites/Rooted/rootedthegame.com/storage/AnimolsSteam.mp4	(from https://rootedthegame.com/)
22:06:48	3519390/3519390	---M--	200	added ('OK')	video/mp4	etag:%226377ce5c-35b39e%22	https://rootedthegame.com/storage/HoomansSteam.mp4	C:/My%20Web%20Sites/Rooted/rootedthegame.com/storage/HoomansSteam.mp4	(from https://rootedthegame.com/)
22:06:48	3211506/3211506	---M--	200	added ('OK')	video/mp4	etag:%226377ce5c-3100f2%22	https://rootedthegame.com/storage/RobotsSteam.mp4	C:/My%20Web%20Sites/Rooted/rootedthegame.com/storage/RobotsSteam.mp4	(from https://rootedthegame.com/)
22:06:48	21102/21102	---MC-	200	added ('OK')	text/html	date:Sat,%2030%20Mar%202024%2019:08:09%20GMT	https://rootedthegame.com/faq	C:/My%20Web%20Sites/Rooted/rootedthegame.com/faq.html	(from https://rootedthegame.com/)
22:06:48	18013/18013	---MC-	200	added ('OK')	text/html	date:Sat,%2030%20Mar%202024%2019:08:09%20GMT	https://rootedthegame.com/legal-notice	C:/My%20Web%20Sites/Rooted/rootedthegame.com/legal-notice.html	(from https://rootedthegame.com/)
22:06:48	15224/15224	---MC-	200	added ('OK')	text/html	date:Sat,%2030%20Mar%202024%2019:08:10%20GMT	https://rootedthegame.com/tos	C:/My%20Web%20Sites/Rooted/rootedthegame.com/tos.html	(from https://rootedthegame.com/)
22:06:49	18795/18795	---MC-	200	added ('OK')	text/html	date:Sat,%2030%20Mar%202024%2019:08:10%20GMT	https://rootedthegame.com/policy	C:/My%20Web%20Sites/Rooted/rootedthegame.com/policy.html	(from https://rootedthegame.com/)
22:06:49	12921/12921	---MC-	200	added ('OK')	text/html	date:Sat,%2030%20Mar%202024%2019:08:10%20GMT	https://rootedthegame.com/discord	C:/My%20Web%20Sites/Rooted/rootedthegame.com/discord.html	(from https://rootedthegame.com/)
22:06:49	89500/89500	---M--	200	added ('OK')	application/javascript	etag:%226376cf3c-15d9c%22	https://rootedthegame.com/js/jquery.min.js	C:/My%20Web%20Sites/Rooted/rootedthegame.com/js/jquery.min.js	(from https://rootedthegame.com/)
22:06:49	3436/3436	---M--	200	added ('OK')	application/javascript	etag:%226376cf3c-d6c%22	https://rootedthegame.com/js/jquery.easing.1.3.js	C:/My%20Web%20Sites/Rooted/rootedthegame.com/js/jquery.easing.1.3.js	(from https://rootedthegame.com/)
22:06:50	78129/78129	---M--	200	added ('OK')	application/javascript	etag:%226376cf3c-13131%22	https://rootedthegame.com/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/Rooted/rootedthegame.com/js/bootstrap.bundle.min.js	(from https://rootedthegame.com/)
22:06:50	7459/7459	---M--	200	added ('OK')	application/javascript	etag:%226376cf3c-1d23%22	https://rootedthegame.com/js/SmoothScroll.js	C:/My%20Web%20Sites/Rooted/rootedthegame.com/js/SmoothScroll.js	(from https://rootedthegame.com/)
